index,star_name,star_name_2,star_distance,star_mass,star_radius,star_teff,name_a,mass_a,radius_a,orbital_period_a,semi_major_axis_a,name_b,mass_b,radius_b,orbital_period_b,semi_major_axis_b,name_c,mass_c,radius_c,orbital_period_c,semi_major_axis_c,name_d,mass_d,radius_d,orbital_period_d,semi_major_axis_d,name_e,mass_e,radius_e,orbital_period_e,semi_major_axis_e,name_f,mass_f,radius_f,orbital_period_f,semi_major_axis_f,name_g,mass_g,radius_g,orbital_period_g,semi_major_axis_g,name_h,mass_h,radius_h,orbital_period_h,semi_major_axis_h,interesting_fact
186,GJ 581,GJ_581,6.21,0.31,0.3,3498.0,GJ 581 b,0.05,,5.36865,0.041,GJ 581 c,0.017,,12.9182,0.073,GJ 581 e,0.0061,,3.14945,0.028,,,,,,,,,,,,,,,,,0.0,,,,,,,,,This faint star (red dwarf) is known since at least 1886 but the first planet around it has been discovered only in 2005.
189,GJ 667 C,GJ_667_C,6.84,0.33,,3600.0,GJ 667 C b,0.0176,,7.2004,0.0505,GJ 667 C c,0.012,,28.14,0.125,GJ 667 C d,0.01604,,91.61,0.276,GJ 667 C e,0.0085,,62.24,0.213,GJ 667 C f,0.0085,,39.026,0.156,GJ 667 C g,0.0145,,256.2,0.549,,0.0,,,,,,,,,Its planetary system has three planets within its habitable zone. Any additional planet within the habitable zone would have destabilized the system.
199,GJ 876,GJ_876,4.7,0.334,0.36,3350.0,GJ 876 b,1.938,,61.03,0.208317,GJ 876 c,0.856,,30.23,0.12959,GJ 876 d,0.022,,1.94,0.02080665,GJ 876 e,0.045,,124.69,0.3343,,,,,,,,,,,,0.0,,,,,,,,,"This red dwarf hosts the fifth closest known planetary system (as of July 2018). Two of its planets are located in the habitable zone but they are believed to be similar to Jupiter (gas giants). "
200,GJ 9827,GJ_9827,30.3,0.659,0.651,4255.0,GJ 9827 b,0.0258,0.146,1.2089819,0.0211,GJ 9827 c,0.0079,0.115,3.648086,0.044,GJ 9827 d,0.012,0.186,6.201472,0.0627,,,,,,,,,,,,,,,,,0.0,,,,,,,,,The system is considered an excellent target for studying atmospherics of exoplanets.
612,HD 40307,HD_40307,12.8,0.77,,4977.0,HD 40307 b,0.012,,4.3115,0.0475,HD 40307 c,0.0202,,9.6207,0.0812,HD 40307 d,0.0275,,20.4184,0.134,HD 40307 e,0.011,,34.62,0.1886,HD 40307 f,0.0114,,51.56,0.2485,HD 40307 g,0.0223,,197.8,0.6,,0.0,,,,,,,,,"This is an orange (K-type) main-sequence star located in the constellation of Pictor. The star is surrounded by six known planets, three discovered in 2008 and three in 2012."
662,HD 69830,HD_69830,12.6,0.86,0.895,5385.0,HD 69830 b,0.1427,,8.667,0.0785,HD 69830 c,0.1649,,31.56,0.186,HD 69830 d,0.2529,,197.0,0.63,,,,,,,,,,,,,,,,,0.0,,,,,,,,,A team of European astronomers discovered that this star hosts three Neptune-mass planets using the HARPS spectrograph on ESO's 3.6-m telescope at La Silla (Chile). The star is also surrounded by an asteroid belt.
686,HD 82943,HD_82943,27.46,1.18,1.12,5874.0,HD 82943 b,14.5,,442.4,1.19,HD 82943 c,14.39,,219.3,0.746,HD 82943 d,0.29,,1078.0,2.145,,,,,,,,,,,,,,,,,0.0,,,,,,,,,This system has been studied by the Keck telescope for over 10 years.
763,HR 8799,HR_8799,39.4,1.56,1.5,7430.0,HR 8799 b,7.0,1.2,164250.0,68.0,HR 8799 c,10.0,1.3,82145.0,42.9,HR 8799 d,10.0,1.2,41054.0,27.0,HR 8799 e,9.0,,18000.0,14.5,,,,,,,,,,,,0.0,,,,,,,,,"This star is surrounded by a debris disk and four planets. These planets were the first exoplanets whose orbital motion was confirmed via direct imaging. "
790,K2-3,K2_3,42.0,0.612,0.553,3951.0,K2-3  b,0.026,0.194,10.05449,0.0775,K2-3 c,0.0066,0.165,24.64354,0.1405,K2-3 d,0.0349,0.135,44.5598,0.2086,,,,,,,,,,,,,,,,,0.0,,,,,,,,,This star is also known as EPIC 201367065 and can be found in the constellation Leo.
984,Kepler-11,Kepler_11,,0.95,1.1,5680.0,Kepler-11 b,0.00597803857408,0.16058553053,10.30375,0.091,Kepler-11 c,0.0091243746657,0.256044707012,13.02502,0.106,Kepler-11 d,0.0229682534688,0.278348252919,22.68719,0.159,Kepler-11 e,0.03,0.374,31.9959,0.194,Kepler-11 f,0.00629267218324,0.222143317233,46.68876,0.25,Kepler-11 g,0.95,0.3274,118.37774,0.462,,0.0,,,,,,,,,This system is an unusually flat compact solar system with lots of big planets orbiting close to the star. The closest 5 planets would all be closer than Mercury is to our Sun.
1537,Kepler-16 (AB),Kepler_16_AB,,0.8499,0.65,4450.0,Kepler-16 (AB) b,0.333,0.7538,228.776,0.7048,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,This is a binary star system (two bounded stars). Both stars are smaller than our Sun. The two stars complete an orbit around a common center of mass every 41 days.
1632,Kepler-20,Kepler_20,290.0,0.912,0.944,5466.0,Kepler-20 b,0.0305,0.1667,3.69611525,0.0463,Kepler-20 c,0.04012,0.2718,10.85409089,0.0949,Kepler-20 d,0.03168,0.2448,77.61130017,0.3506,Kepler-20 e,0.0097,0.0772,6.09852281,0.0639,Kepler-20 f,0.045,0.08948,19.57758478,0.1396,Kepler-20 g,0.0628,,34.94,0.2055,,0.0,,,,,,,,,Although the planets are not much bigger than the Earth they are not Earth like because they are much closer to their star than Earth and are hence not near the habitable zone.
1709,Kepler-27,Kepler_27,,0.65,0.59,5400.0,Kepler-27 b,9.11,0.36,15.3348,0.118,Kepler-27 c,13.8,0.44,31.3309,0.191,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,This faint star (not visible with the naked eye) has a planet orbiting in its habitable zone. However this planet Kepler-27 c is a gaseous giant.
1819,Kepler-37,Kepler_37,66.0,0.803,0.77,5417.0,Kepler-37 b,0.00874681433471,0.0285485387609,13.367308,0.1003,Kepler-37 c,0.0314633609162,0.0669106377208,21.301886,0.1368,Kepler-37 d,0.0383853003178,0.173075516238,39.792187,0.2076,,,,,,,,,,,,,,,,,0.0,,,,,,,,,It is located in the constellation Lyra.
